symbol,rows,start,end,final_value,total_profit,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,trade_count,portfolio_path,return_pct,annualized_pct,max_dd_pct,win_rate_pct,reward_risk
FET/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,250.0028880343176,150.0028880343176,1.500028880343176,0.3932202095139836,0.8387884293329274,-0.6397071622701396,0.6195121951219512,615,backtests/FET_ZScoreStrategy_portfolio.pkl,150.0028880343176,39.322020951398365,-63.97071622701396,61.951219512195124,2.3448680409017126
QNT/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,220.60307003347472,120.60307003347472,1.2060307003347472,0.3315454929085444,0.8312156650669105,-0.4306984179402017,0.6334841628959276,663,backtests/QNT_ZScoreStrategy_portfolio.pkl,120.60307003347472,33.15454929085444,-43.06984179402017,63.348416289592755,2.800174437841081
OP/USDT,22637,2022-06-01 19:00:00+00:00,2024-12-31 00:00:00+00:00,92.2871653178781,-7.712834682121894,-0.07712834682121894,-0.030583327175410346,0.2560054970603753,-0.5895369023628122,0.6006600660066007,606,backtests/OP_ZScoreStrategy_portfolio.pkl,-7.712834682121894,-3.0583327175410346,-58.95369023628122,60.066006600660074,-0.13082870048014855
VET/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,74.68841180427798,-25.311588195722024,-0.25311588195722023,-0.10023470125503131,0.030185925869100183,-0.6096849426893153,0.6255639097744361,665,backtests/VET_ZScoreStrategy_portfolio.pkl,-25.311588195722024,-10.023470125503131,-60.96849426893153,62.55639097744361,-0.41515849291066326
NEAR/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,63.865271809625554,-36.134728190374446,-0.36134728190374443,-0.14979505836928897,0.0416088344433051,-0.8432245293398569,0.6259541984732825,655,backtests/NEAR_ZScoreStrategy_portfolio.pkl,-36.134728190374446,-14.979505836928897,-84.32245293398569,62.59541984732825,-0.4285303253531248
INJ/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,58.41285530129314,-41.58714469870686,-0.41587144698706857,-0.17681514377698915,-0.02363388144242758,-0.6970537240378591,0.6264855687606112,589,backtests/INJ_ZScoreStrategy_portfolio.pkl,-41.58714469870686,-17.681514377698914,-69.70537240378592,62.64855687606112,-0.5966131915600831
SOL/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,47.24549344220729,-52.75450655779271,-0.5275450655779271,-0.2376609038220382,-0.19221422192213095,-0.8326766472073613,0.6111975116640747,643,backtests/SOL_ZScoreStrategy_portfolio.pkl,-52.754506557792716,-23.76609038220382,-83.26766472073614,61.11975116640747,-0.6335533335145314
DOGE/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,44.77196669482877,-55.22803330517123,-0.5522803330517123,-0.2523538545508234,-0.28154405068412297,-0.7024591042445232,0.5866261398176292,658,backtests/DOGE_ZScoreStrategy_portfolio.pkl,-55.22803330517123,-25.235385455082337,-70.24591042445232,58.662613981762924,-0.7862099440588441
EGLD/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,43.977014100977804,-56.022985899022196,-0.5602298589902219,-0.25718563778823866,-0.3537200087092016,-0.7675750086558781,0.6096096096096096,666,backtests/EGLD_ZScoreStrategy_portfolio.pkl,-56.022985899022196,-25.718563778823867,-76.75750086558782,60.96096096096096,-0.7298698533336253
ADA/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,36.475962042214825,-63.524037957785175,-0.6352403795778517,-0.3057970807287558,-0.5374924453055917,-0.7590135932162976,0.6006006006006006,666,backtests/ADA_ZScoreStrategy_portfolio.pkl,-63.524037957785175,-30.579708072875576,-75.90135932162976,60.06006006006006,-0.8369288577376321
PEOPLE/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,34.87091280858493,-65.12908719141507,-0.6512908719141507,-0.31701133666451065,-0.09618044438756443,-0.7642161257321027,0.6267496111975117,643,backtests/PEOPLE_ZScoreStrategy_portfolio.pkl,-65.12908719141507,-31.701133666451064,-76.42161257321027,62.674961119751174,-0.8522338772820686
XLM/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,34.13540109260208,-65.86459890739792,-0.6586459890739792,-0.32226044418709887,-0.7593432961372544,-0.772547731036201,0.5762195121951219,656,backtests/XLM_ZScoreStrategy_portfolio.pkl,-65.86459890739792,-32.22604441870989,-77.2547731036201,57.62195121951219,-0.852563489107077
XTZ/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,33.402701086620795,-66.5972989133792,-0.6659729891337921,-0.3275617411912659,-0.612970219560212,-0.7411576396688171,0.6106060606060606,660,backtests/XTZ_ZScoreStrategy_portfolio.pkl,-66.5972989133792,-32.75617411912659,-74.11576396688172,61.06060606060606,-0.8985578148143748
XRP/USDT,24205,2022-03-28 11:00:00+00:00,2024-12-31 00:00:00+00:00,33.1156010274529,-66.8843989725471,-0.668843989725471,-0.3296592222225123,-0.6451470805977413,-0.7868302489580199,0.5935085007727975,647,backtests/XRP_ZScoreStrategy_portfolio.pkl,-66.8843989725471,-32.96592222225123,-78.68302489580199,59.35085007727975,-0.8500486484997302
